feature,f_binary,mi_binary,rf_binary,agg_stageA,f_type6,mi_type6,rf_type6,agg_stageB,selected,in_stageA,in_stageB
dp_SE,19.04902549791907,0.08696336079312106,0.0016461147529670949,0.09963803960558722,212.47128212880963,0.2875224798171283,0.001238337316862219,0.15392452522032105,False,False,False
dp_GQ,756.1448269164672,0.03543531516843701,0.00632317665183295,0.1533743922445689,191.73413392008632,0.1634974480509479,0.004277208378048105,0.15045389234073048,False,False,False
dp_KA,327.7623284861581,0.06291337061197577,0.0021504016547929136,0.09041063661127037,204.68561204520987,0.2018004866495282,0.0027878572798994655,0.14702296802300957,False,False,False
dp_ES,1.902195916753673,0.06505597002700436,0.0018066118569615426,0.06755533673515993,268.85203358338936,0.24657822926364137,0.002103509866803579,0.14600408553510413,False,False,False
dp_ST,1.2197298338391842,0.0649504481703671,0.001682246931447948,0.07278880945674279,116.44246073818934,0.16949007133471694,0.004459726761455917,0.1402892063290397,False,False,False
dp_RK,159.5706264807253,0.05798559548869653,0.003985159050984901,0.11075474168401828,496.59451687094804,0.19741384008672913,0.0014075582023000204,0.1400888273354255,False,False,False
dp_AS,28.081874997762448,0.08951048935925199,0.0021577586449979674,0.09878094144560631,156.19542753168366,0.2680341685561647,0.0017899016197929344,0.13834665839978785,False,False,False
dp_TT,922.6502810241849,0.06414518625431054,0.0026764934932469262,0.10974642818775372,173.53391649066134,0.27511777219043543,0.0015861586472599423,0.13831149388249642,False,False,False
dp_PL,253.07202570414788,0.06758798937242871,0.0018946642165426123,0.10080640151386334,262.80152440395005,0.21920791824130248,0.0017938114098051006,0.13157626993428875,False,False,False
dp_VS,9.819231477330378,0.061349534791148574,0.0019499668158072545,0.07348803652345427,136.8386042146328,0.13793932569005785,0.004134687305341149,0.1312703095419176,False,False,False
dp_GL,4.63598894471867,0.06570151839933036,0.0026280449691116936,0.0795424146557141,216.2105026775075,0.2078995012750351,0.002348872909359699,0.13017797587531815,False,False,False
dp_VV,64.15776343790274,0.03964623427562031,0.003205687653916523,0.0656080006844431,321.2348752215051,0.1501014687693507,0.0029812707822974086,0.12871200826890558,False,False,False
dp_GK,363.36122037333155,0.054652668671043125,0.0021407964995267003,0.08634207566490834,109.34314135327571,0.19124826327158972,0.0024976152361777942,0.12811597561262122,False,False,False
dp_DT,982.178976331575,0.05185014864895354,0.0009330782075556086,0.09413954563730692,191.5828978233869,0.23783200386603331,0.0011225323436211169,0.12734735201719152,False,False,False
dp_LF,325.97873599543414,0.058253077598411585,0.001751886474410467,0.07432527612337744,240.78370501657778,0.23620468284905627,0.0012592592992343146,0.12699587775829396,False,False,False
dp_EQ,0.5608315968974131,0.027095909189381207,0.0023463723814609308,0.027565375670935154,357.4866771304761,0.1241703863356971,0.004151428800229155,0.12599561379704013,False,False,False
dp_IK,1010.7693722489535,0.04621107442377248,0.0026169199563796687,0.14578129683761865,203.45483265920058,0.1746573893713177,0.0022880478206296043,0.1258028109056173,False,False,False
dp_LD,10.950983371410796,0.06112582750546536,0.0019389510019192447,0.07800247509023431,208.69277338659901,0.16072273073301124,0.0026763659801877374,0.12380469852360837,False,False,False
dp_AV,9.546146671412982,0.04146237977414713,0.002175989577011309,0.05196571874869499,269.8297319829525,0.16679004372527118,0.002634899071470355,0.12219288246034091,False,False,False
dp_VG,370.9353082671876,0.03156808231223884,0.004989419951300591,0.12074093004236339,298.187391529036,0.14581085428390583,0.0025619319801068437,0.12122584383672173,False,False,False
dp_AD,1806.323406595763,0.07007460135542498,0.0066736034485622014,0.23906266839202317,196.78676348963884,0.21596264290990996,0.0014424464950688503,0.11989506681759589,True,True,False
dp_LV,62.29235173374669,0.04786870496476281,0.002180690530229491,0.06115825719570717,230.1828816575139,0.1667298816278957,0.002602290895181227,0.11759276124154752,False,False,False
dp_EL,263.4977726067671,0.06893554885849551,0.002474782671791919,0.0985851001862263,137.2249266091881,0.18497072259672898,0.002274633276993233,0.11690943997291453,False,False,False
dp_SG,9.081175662327889,0.06251840149730548,0.0032828795839462853,0.0920012760408758,164.4520418671405,0.18193531327974544,0.0024496189518667553,0.11676754646058883,False,False,False
dp_SV,106.86394846457742,0.06070405229858067,0.0018480436262199968,0.07650481142541599,343.31420700129814,0.1417855767131595,0.002211342201710522,0.11663419958372337,False,False,False
dp_GV,87.99006579163259,0.03105864829753191,0.002241027776861174,0.046613243469997206,172.80801988312874,0.13364865802385095,0.003629799750489536,0.11513817794600165,False,False,False
dp_PK,187.21734693856476,0.03581054748858192,0.0010826272314863525,0.03295973412127062,191.33432459971522,0.15598010943124718,0.0020632751476240513,0.11499831556247272,False,False,False
dp_IV,266.45100854883844,0.03077293558156713,0.002342125175939971,0.06292442165765158,139.2765024553579,0.15714422023919106,0.002686338757100738,0.11488216690088887,False,False,False
dp_TV,79.34967831807609,0.0430007011551119,0.0018998442094496156,0.051757311520264415,163.40497985680332,0.1597795980933716,0.002270543801996923,0.11267781986569288,False,False,False
dp_IA,1064.1991109855499,0.05336621482015724,0.002976662342877892,0.14486709975833126,110.45429481517145,0.18103290340782152,0.0021822369971876763,0.1120728053413008,False,False,False
dp_SS,2083.260302730861,0.10706789733271926,0.016151608681052324,0.2726814676740298,253.69753765989597,0.15281441092189363,0.002543286937395128,0.10674794115289198,True,True,False
dp_AI,609.2425448791842,0.04605656067031538,0.0024233551216869694,0.11225988104124165,61.21214760921219,0.16225884261462387,0.002253252513394477,0.10478961504946563,False,False,False
dp_IL,3.726951362583834,0.047864694096175775,0.0020087079455343017,0.05569396418606205,97.93252341748509,0.19315676646951907,0.00186466074526288,0.1044376052734169,False,False,False
dp_IE,506.42593118167116,0.036479258531012304,0.0023872569112277984,0.08170849456576236,215.87773260635134,0.1463967508994819,0.0022218644443073965,0.1027541674380484,False,False,False
dp_LS,1897.435537919761,0.1070277359214582,0.011354047433534164,0.3006361345459365,77.1977836006322,0.1762339575587495,0.0021580159876637413,0.10149590092493996,True,True,False
dp_VD,260.85827348226053,0.03386227757949345,0.003042904729502028,0.07090492396969691,244.8196284833558,0.12068016755854627,0.0024717197761379016,0.1011483744828332,False,False,False
dp_AL,636.8574575721611,0.07126397366163228,0.0027365833159557385,0.12162477424783696,171.11909920449895,0.1602993427576025,0.0020464124445763094,0.09950086359928326,False,False,False
dp_VL,289.5649899429275,0.05702686409885338,0.0035024006991534497,0.0908413156978192,107.58339785519779,0.16153126446239252,0.002129488179247745,0.09934223586874263,False,False,False
dp_RN,463.94462598962133,0.022604463048764067,0.0026673197926458427,0.06405318669471546,267.4291731764444,0.13362679478850925,0.0023570445920860373,0.09918322037791012,False,False,False
dp_QQ,38.01239059112744,0.023677557375425096,0.0021195389610136656,0.032257813814088945,277.55403158657595,0.07977624079052203,0.004460078640104049,0.09827537043670101,False,False,False
dp_SR,11.111719356469726,0.056758982283895865,0.0016478076813279737,0.05512444431541586,161.1457190590752,0.20564147131590405,0.0009647932327167541,0.09721472718491937,False,False,False
dp_LG,197.56748344034816,0.06805195411330023,0.0034753496436955287,0.10528630780384458,32.19730102708795,0.17554299153190334,0.001878761903349229,0.09719827979589712,False,False,False
dp_DE,116.86327240736861,0.043044771131989235,0.0026903338299870396,0.07293571881069798,173.4337118816129,0.14581940943681726,0.0020238224538445338,0.0955108919342951,False,False,False
dp_LK,683.0278761886507,0.08391059912969134,0.004854724391472709,0.18802204450817606,109.66322304765546,0.1453670892467196,0.0021586676161419855,0.09538314729874427,True,True,False
dp_KV,346.2396386792119,0.051223762196991984,0.0018494734319753233,0.07693664070354961,192.92090851429478,0.16367668039597794,0.001398137191933456,0.09493537050359173,False,False,False
dp_LT,264.7374482263508,0.055532671580288184,0.002333387245028297,0.08333431434024048,99.78260134717424,0.10717364763755022,0.00303930336749536,0.09363038102397472,False,False,False
